post_id,post_type,platform,category,likes,shares,comments,views,engagement_rate,ctr,country,region,language,festival_relevance,relevant_festivals,timestamp,month,day_of_week,ad_spend,post_reach,age_group,gender
147,static_image,Facebook,Sports,1179,210,41,9685,0.15,0.02,Saudi Arabia,Rural,Arabic,No,"Eid al-Fitr, Eid al-Adha",2024-07-16 08:01:29,July,Tuesday,3131.5,7341,35-44,Male
148,video,YouTube,Sports,3190,52,238,946,3.68,0.05,United States,Urban,English,Yes,"Thanksgiving, Independence Day, Halloween",2024-01-31 06:01:04,January,Wednesday,3250.04,708,35-44,Male
149,static_image,Instagram,Finance,2394,749,179,6318,0.53,0.12,Germany,Rural,German,No,Oktoberfest,2024-05-25 11:17:42,May,Saturday,842.8,5141,45-54,Other
150,video,Instagram,Social Issues,3714,999,714,9936,0.55,0.1,France,Urban,French,No,Bastille Day,2024-10-26 05:23:16,October,Saturday,960.29,8009,25-34,Female
151,static_image,YouTube,Finance,4033,157,326,8458,0.53,0.02,United States,Rural,English,No,"Thanksgiving, Independence Day, Halloween",2024-04-23 18:13:29,April,Tuesday,586.12,5815,55+,Other
152,static_image,Instagram,Politics,3903,554,496,7683,0.64,0.07,Turkey,Urban,Turkish,No,"Republic Day, Ramadan",2024-03-11 13:38:40,March,Monday,2781.58,5268,45-54,Female
153,video,YouTube,Music,351,478,235,2005,0.53,0.24,Saudi Arabia,Rural,Arabic,No,"Eid al-Fitr, Eid al-Adha",2024-07-11 09:44:45,July,Thursday,714.23,1233,35-44,Other
154,carousel,Facebook,Gaming,2198,268,30,740,3.37,0.36,Saudi Arabia,Urban,Arabic,Yes,"Eid al-Fitr, Eid al-Adha",2024-02-07 14:21:52,February,Wednesday,4650.9,654,35-44,Female
155,reel,Facebook,Technology,4215,953,341,5802,0.95,0.16,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-04-01 01:08:20,April,Monday,1840.57,4889,55+,Other
156,carousel,TikTok,Politics,2538,610,429,8290,0.43,0.07,Brazil,Rural,Portuguese,No,Carnival,2024-07-19 09:33:50,July,Friday,1896.97,6740,18-24,Female
157,video,YouTube,Travel,87,490,447,6607,0.15,0.07,Brazil,Urban,Portuguese,No,Carnival,2024-01-06 17:13:30,January,Saturday,2815.28,5616,18-24,Female
158,static_image,Instagram,Food,2587,236,388,2985,1.08,0.08,India,Urban,Tamil,No,"Diwali, Holi, Eid",2024-04-30 23:02:37,April,Tuesday,1877.54,2175,25-34,Male
159,video,Instagram,Fashion,2463,798,420,5741,0.64,0.14,Turkey,Urban,Turkish,No,"Republic Day, Ramadan",2024-12-24 05:11:45,December,Tuesday,3238.54,3662,55+,Male
160,video,Facebook,Politics,2968,1305,267,5781,0.79,0.23,South Korea,Urban,Korean,No,"Chuseok, Seollal",2024-01-20 05:17:42,January,Saturday,4858.44,5055,18-24,Other
161,carousel,Twitter,Music,505,771,708,433,4.58,1.78,Indonesia,Rural,Indonesian,No,,2024-03-29 05:19:49,March,Friday,2638.58,287,55+,Female
162,carousel,YouTube,Food,1696,375,446,3307,0.76,0.11,United States,Urban,English,No,"Thanksgiving, Independence Day, Halloween",2024-08-02 14:27:55,August,Friday,831.44,2129,35-44,Male
163,video,Facebook,Finance,3110,917,38,7025,0.58,0.13,Greece,Rural,Greek,No,"Easter, Carnival",2024-03-28 18:19:41,March,Thursday,1799.27,4745,55+,Female
164,static_image,Twitter,Finance,0,0,0,0,0.0,0.0,China,Rural,Mandarin,No,None,2024-10-26 08:09:18,October,Saturday,0.0,0,35-44,Male
165,reel,Twitter,Movies,1754,667,413,6608,0.43,0.1,Italy,Rural,Italian,Yes,"Venice Carnival, Easter",2024-11-22 14:09:08,November,Friday,1318.5,5354,25-34,Male
166,reel,Instagram,Sports,5629,721,609,7663,0.91,0.09,Canada,Urban,English,No,,2024-05-23 02:30:53,May,Thursday,571.96,5893,35-44,Female
167,reel,Instagram,Fashion,459,330,193,274,3.58,1.2,South Korea,Urban,Korean,No,"Chuseok, Seollal",2024-02-27 10:14:26,February,Tuesday,306.79,237,55+,Male
168,carousel,Facebook,Gaming,6048,405,399,9471,0.72,0.04,Spain,Rural,Spanish,Yes,"La Tomatina, Running of the Bulls",2024-06-08 03:39:50,June,Saturday,4350.47,7059,55+,Male
169,carousel,TikTok,Movies,3568,74,316,6537,0.61,0.01,Saudi Arabia,Urban,Arabic,Yes,"Eid al-Fitr, Eid al-Adha",2024-05-09 10:00:52,May,Thursday,3870.23,5293,45-54,Other
170,static_image,TikTok,Gaming,2986,864,9,855,4.51,1.01,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-01-19 22:29:43,January,Friday,1789.16,720,35-44,Male
171,carousel,YouTube,Sports,1911,164,355,334,7.28,0.49,Germany,Rural,German,Yes,Oktoberfest,2024-12-26 21:04:30,December,Thursday,3418.28,276,18-24,Male
172,static_image,Twitter,Politics,3302,745,109,4221,0.98,0.18,South Korea,Urban,Korean,No,"Chuseok, Seollal",2024-10-27 07:54:06,October,Sunday,2801.35,3014,45-54,Other
173,reel,Twitter,Food,5287,1251,433,12663,0.55,0.1,Greece,Rural,Greek,No,"Easter, Carnival",2024-12-09 17:32:07,December,Monday,4515.04,11107,18-24,Female
174,video,Facebook,Education,4425,741,476,8228,0.69,0.09,Japan,Urban,Japanese,Yes,"Cherry Blossom Festival, Obon",2024-12-30 15:23:13,December,Monday,3854.63,5262,35-44,Male
175,reel,YouTube,Finance,1112,746,407,2980,0.76,0.25,Brazil,Urban,Portuguese,No,Carnival,2024-11-19 00:22:17,November,Tuesday,328.12,2162,55+,Male
176,video,Twitter,Fashion,3711,1390,379,12430,0.44,0.11,Turkey,Urban,Turkish,Yes,"Republic Day, Ramadan",2024-10-14 19:01:37,October,Monday,4526.55,8949,35-44,Female
177,carousel,YouTube,Entertainment,5709,202,40,11265,0.53,0.02,United Kingdom,Urban,English,Yes,"Christmas, Easter, Bonfire Night",2024-12-01 07:12:46,December,Sunday,30.83,9875,25-34,Male
178,reel,YouTube,Music,2486,876,340,6573,0.56,0.13,Brazil,Urban,Portuguese,No,Carnival,2024-10-28 08:30:00,October,Monday,3929.68,5795,55+,Female
179,video,Facebook,Sports,4114,96,376,5671,0.81,0.02,United Kingdom,Urban,English,Yes,"Christmas, Easter, Bonfire Night",2024-01-28 06:24:48,January,Sunday,3004.98,4213,25-34,Other
180,reel,Instagram,Fashion,2604,1002,132,2260,1.65,0.44,Brazil,Urban,Portuguese,No,Carnival,2024-04-26 11:26:30,April,Friday,4247.49,1375,55+,Other
181,video,Facebook,Health,893,828,222,8425,0.23,0.1,Australia,Urban,English,No,"Australia Day, Melbourne Cup",2024-03-25 11:05:27,March,Monday,2929.61,7131,35-44,Other
182,reel,Twitter,Politics,4140,660,58,11550,0.42,0.06,Greece,Rural,Greek,Yes,"Easter, Carnival",2024-06-07 01:38:12,June,Friday,3904.05,7459,25-34,Male
183,reel,Twitter,Finance,3252,734,447,9400,0.47,0.08,Brazil,Urban,Portuguese,Yes,Carnival,2024-04-01 07:20:18,April,Monday,1631.81,7257,35-44,Male
184,static_image,Twitter,Gaming,4275,647,45,5750,0.86,0.11,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-10-27 07:26:16,October,Sunday,2870.32,4701,55+,Other
185,carousel,Instagram,Sports,7420,1392,333,6931,1.32,0.2,Spain,Rural,Spanish,Yes,"La Tomatina, Running of the Bulls",2024-12-23 10:56:55,December,Monday,2412.79,5153,25-34,Male
186,static_image,YouTube,Travel,396,391,232,1478,0.69,0.26,India,Rural,Tamil,No,"Diwali, Holi, Eid",2024-09-27 20:45:55,September,Friday,254.09,1328,45-54,Female
187,video,YouTube,Technology,4837,873,519,2076,3.0,0.42,Canada,Rural,English,No,,2024-04-22 09:59:46,April,Monday,3442.5,1464,18-24,Other
188,reel,Facebook,Social Issues,3413,582,261,4386,0.97,0.13,Mexico,Urban,Spanish,No,"Day of the Dead, Cinco de Mayo",2024-09-05 10:10:21,September,Thursday,734.82,3789,55+,Other
189,video,Facebook,Food,1855,448,403,855,3.16,0.52,Italy,Rural,Italian,No,"Venice Carnival, Easter",2024-01-21 03:43:21,January,Sunday,4687.37,513,18-24,Female
190,reel,Facebook,Sports,4455,135,250,1432,3.38,0.09,United Arab Emirates,Urban,English,No,"National Day, Dubai Shopping Festival",2024-06-26 04:39:04,June,Wednesday,3640.86,1185,45-54,Female
191,static_image,YouTube,Movies,3916,1354,487,10615,0.54,0.13,India,Urban,Tamil,No,"Diwali, Holi, Eid",2024-08-12 09:58:21,August,Monday,4764.51,6937,35-44,Female
192,video,Instagram,Sports,3014,570,477,1423,2.85,0.4,Spain,Urban,Spanish,No,"La Tomatina, Running of the Bulls",2024-10-11 10:59:24,October,Friday,3739.96,1208,45-54,Other
193,video,Facebook,Entertainment,1451,723,33,5382,0.41,0.13,Mexico,Urban,Spanish,No,"Day of the Dead, Cinco de Mayo",2024-04-13 04:18:37,April,Saturday,3627.37,3240,55+,Other
194,reel,YouTube,Technology,2227,800,352,4405,0.77,0.18,India,Rural,Bengali,Yes,"Diwali, Holi, Eid",2024-01-01 07:31:58,January,Monday,4311.38,2706,18-24,Male
195,video,TikTok,Music,1945,660,207,10017,0.28,0.07,South Korea,Urban,Korean,No,"Chuseok, Seollal",2024-01-19 16:47:00,January,Friday,3178.19,8635,45-54,Other
196,video,Instagram,Food,132,322,573,1192,0.86,0.27,United Kingdom,Urban,English,No,"Christmas, Easter, Bonfire Night",2024-12-17 08:27:10,December,Tuesday,4861.67,773,45-54,Male
197,video,TikTok,Entertainment,2916,148,286,8695,0.39,0.02,Canada,Rural,French,Yes,,2024-04-08 12:07:06,April,Monday,4314.72,6718,55+,Other
198,carousel,YouTube,Entertainment,7468,684,211,4960,1.69,0.14,Brazil,Urban,Portuguese,No,Carnival,2024-03-30 00:29:57,March,Saturday,2628.01,3082,18-24,Female
199,static_image,YouTube,Health,297,17,66,8612,0.04,0.0,Egypt,Urban,Arabic,No,"Ramadan, Eid al-Fitr",2024-11-16 18:25:07,November,Saturday,670.38,7354,25-34,Other
200,carousel,Instagram,Gaming,3255,95,22,350,9.63,0.27,Germany,Urban,German,No,Oktoberfest,2024-12-05 20:55:26,December,Thursday,3367.48,281,55+,Female
201,static_image,YouTube,Social Issues,2519,812,413,6230,0.6,0.13,Japan,Urban,Japanese,Yes,"Cherry Blossom Festival, Obon",2024-10-23 12:15:20,October,Wednesday,1634.6,4654,55+,Male
202,reel,Facebook,Education,2261,727,159,6577,0.48,0.11,South Korea,Urban,Korean,No,"Chuseok, Seollal",2024-12-10 08:39:13,December,Tuesday,1496.31,4922,55+,Other
203,carousel,Instagram,Movies,3987,511,196,3184,1.47,0.16,Canada,Urban,French,No,,2024-01-02 20:45:44,January,Tuesday,4227.32,2494,55+,Female
204,video,Twitter,Social Issues,2471,566,231,1909,1.71,0.3,Italy,Urban,Italian,No,"Venice Carnival, Easter",2024-07-11 10:47:34,July,Thursday,3230.84,1234,35-44,Female
205,reel,TikTok,Health,3624,471,146,2511,1.69,0.19,United Kingdom,Urban,English,No,"Christmas, Easter, Bonfire Night",2024-10-03 13:17:12,October,Thursday,1646.52,2214,18-24,Female
206,static_image,YouTube,Gaming,4153,658,484,218,24.29,3.02,United Arab Emirates,Urban,English,Yes,"National Day, Dubai Shopping Festival",2024-06-04 07:29:03,June,Tuesday,595.09,165,55+,Female
207,static_image,YouTube,Music,5320,1468,300,3331,2.13,0.44,India,Rural,Hindi,No,"Diwali, Holi, Eid",2024-09-26 11:30:17,September,Thursday,2137.06,2702,35-44,Female
208,video,YouTube,Movies,869,634,235,1199,1.45,0.53,United States,Rural,English,No,"Thanksgiving, Independence Day, Halloween",2024-05-27 21:47:14,May,Monday,1760.12,990,45-54,Female
209,reel,TikTok,Travel,2279,343,196,5884,0.48,0.06,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-03-25 08:43:02,March,Monday,2670.49,4901,35-44,Male
210,reel,Facebook,Technology,3732,1438,339,13605,0.4,0.11,Turkey,Urban,Turkish,No,"Republic Day, Ramadan",2024-09-23 03:57:19,September,Monday,1377.57,8927,18-24,Male
211,reel,YouTube,Health,3998,681,399,2295,2.21,0.3,South Korea,Urban,Korean,Yes,"Chuseok, Seollal",2024-10-13 04:06:51,October,Sunday,252.41,1991,55+,Male
212,static_image,TikTok,Entertainment,1581,249,294,3528,0.6,0.07,Mexico,Urban,Spanish,No,"Day of the Dead, Cinco de Mayo",2024-02-27 02:31:15,February,Tuesday,1794.3,3141,45-54,Other
213,reel,TikTok,Sports,2683,401,180,516,6.33,0.78,United Kingdom,Urban,English,No,"Christmas, Easter, Bonfire Night",2024-11-29 08:34:41,November,Friday,534.9,388,35-44,Male
214,carousel,Instagram,Movies,1400,382,351,3423,0.62,0.11,Turkey,Rural,Turkish,No,"Republic Day, Ramadan",2024-04-11 19:04:40,April,Thursday,3749.4,2775,55+,Female
215,video,Twitter,Gaming,2098,397,168,3103,0.86,0.13,Greece,Rural,Greek,No,"Easter, Carnival",2024-04-08 19:05:49,April,Monday,3541.59,2359,45-54,Female
216,reel,YouTube,Finance,6886,259,592,166,46.61,1.56,United Kingdom,Urban,English,No,"Christmas, Easter, Bonfire Night",2024-12-30 01:27:52,December,Monday,4326.06,146,18-24,Other
217,static_image,YouTube,Finance,3134,222,350,7129,0.52,0.03,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-07-06 22:54:12,July,Saturday,1469.47,5001,45-54,Male
218,static_image,Instagram,Health,6720,273,291,5545,1.31,0.05,Canada,Urban,French,No,,2024-10-14 19:49:00,October,Monday,947.49,4551,18-24,Male
219,reel,Facebook,Entertainment,2386,245,128,9118,0.3,0.03,Spain,Rural,Spanish,No,"La Tomatina, Running of the Bulls",2024-06-11 02:45:14,June,Tuesday,1893.6,7095,18-24,Other
220,carousel,Twitter,Entertainment,101,106,421,8364,0.08,0.01,United States,Rural,English,No,"Thanksgiving, Independence Day, Halloween",2024-10-18 20:08:11,October,Friday,3319.26,6477,25-34,Other
221,carousel,TikTok,Fashion,1106,602,363,7605,0.27,0.08,Greece,Rural,Greek,No,"Easter, Carnival",2024-08-10 02:40:18,August,Saturday,3975.98,6534,25-34,Male
222,reel,Facebook,Finance,65,771,7,5697,0.15,0.14,Australia,Urban,English,No,"Australia Day, Melbourne Cup",2024-04-13 16:02:18,April,Saturday,4022.92,3686,35-44,Other
223,static_image,Twitter,Finance,6838,988,187,1087,7.37,0.91,Canada,Rural,English,Yes,,2024-04-13 10:37:17,April,Saturday,143.76,794,55+,Female
224,static_image,YouTube,Finance,2964,478,414,3024,1.28,0.16,Canada,Rural,French,Yes,,2024-11-14 04:38:21,November,Thursday,3141.8,2188,25-34,Male
225,carousel,TikTok,Education,406,740,163,9455,0.14,0.08,China,Urban,Mandarin,No,"Chinese New Year, Mid-Autumn Festival",2024-11-08 02:36:07,November,Friday,3123.04,5754,45-54,Male
226,reel,YouTube,Education,4711,614,402,1859,3.08,0.33,Japan,Urban,Japanese,Yes,"Cherry Blossom Festival, Obon",2024-06-04 12:24:32,June,Tuesday,3951.06,1270,25-34,Other
227,reel,Twitter,Music,958,874,146,4136,0.48,0.21,Spain,Urban,Spanish,No,"La Tomatina, Running of the Bulls",2024-07-14 17:36:28,July,Sunday,652.09,2618,45-54,Female
228,video,Instagram,Technology,1542,528,507,900,2.86,0.59,Italy,Rural,Italian,Yes,"Venice Carnival, Easter",2024-02-10 06:05:16,February,Saturday,3985.76,699,35-44,Male
229,video,Twitter,Technology,4833,674,375,7295,0.81,0.09,United States,Rural,English,No,"Thanksgiving, Independence Day, Halloween",2024-06-09 06:05:18,June,Sunday,175.87,5882,55+,Male
230,reel,Instagram,Movies,1072,886,488,814,3.0,1.09,India,Rural,Hindi,No,"Diwali, Holi, Eid",2024-07-17 12:41:11,July,Wednesday,3935.97,729,35-44,Female
231,static_image,Facebook,Education,1659,744,49,1956,1.25,0.38,Brazil,Rural,Portuguese,No,Carnival,2024-11-15 03:35:18,November,Friday,244.3,1235,45-54,Female
232,static_image,YouTube,Movies,4946,554,491,6064,0.99,0.09,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-02-17 09:20:32,February,Saturday,2253.47,4699,55+,Other
233,carousel,Twitter,Social Issues,3708,315,425,970,4.59,0.32,United States,Rural,English,No,"Thanksgiving, Independence Day, Halloween",2024-06-14 05:36:47,June,Friday,3981.02,790,25-34,Other
234,video,YouTube,Fashion,4413,825,337,1973,2.83,0.42,Egypt,Urban,Arabic,Yes,"Ramadan, Eid al-Fitr",2024-01-14 19:05:18,January,Sunday,3248.53,1686,45-54,Other
235,carousel,YouTube,Sports,2461,264,399,8411,0.37,0.03,Germany,Rural,German,No,Oktoberfest,2024-11-06 06:49:59,November,Wednesday,2127.17,5900,35-44,Other
236,reel,Instagram,Fashion,2888,168,219,1905,1.72,0.09,South Africa,Urban,Afrikaans,No,Heritage Day,2024-05-11 11:48:19,May,Saturday,3119.75,1420,35-44,Other
237,video,Facebook,Technology,2157,62,276,4005,0.62,0.02,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-08-12 09:17:29,August,Monday,1368.94,2706,35-44,Male
238,carousel,Instagram,Gaming,3054,45,529,9813,0.37,0.0,Germany,Rural,German,No,Oktoberfest,2024-10-22 01:23:46,October,Tuesday,912.8,7218,55+,Other
239,video,Facebook,Technology,939,272,196,8976,0.16,0.03,United Arab Emirates,Urban,English,Yes,"National Day, Dubai Shopping Festival",2024-04-07 00:07:14,April,Sunday,2227.62,7624,35-44,Female
240,video,Facebook,Entertainment,2610,160,319,7752,0.4,0.02,United Kingdom,Urban,English,No,"Christmas, Easter, Bonfire Night",2024-08-26 10:27:06,August,Monday,2124.82,5377,45-54,Male
241,reel,TikTok,Health,643,733,267,13744,0.12,0.05,Saudi Arabia,Urban,Arabic,No,"Eid al-Fitr, Eid al-Adha",2024-03-07 22:51:10,March,Thursday,538.37,10226,45-54,Female
242,static_image,TikTok,Food,1787,362,331,6097,0.41,0.06,Mexico,Urban,Spanish,No,"Day of the Dead, Cinco de Mayo",2024-06-17 00:57:35,June,Monday,2875.42,4797,55+,Male
243,video,Instagram,Sports,3307,384,465,8284,0.5,0.05,Mexico,Urban,Spanish,No,"Day of the Dead, Cinco de Mayo",2024-11-17 02:14:19,November,Sunday,4308.19,5733,45-54,Male
244,carousel,Instagram,Sports,2580,122,210,186,15.66,0.66,Greece,Rural,Greek,No,"Easter, Carnival",2024-03-04 11:14:19,March,Monday,1558.31,119,55+,Other
245,static_image,YouTube,Technology,1486,862,646,2740,1.09,0.31,Mexico,Urban,Spanish,Yes,"Day of the Dead, Cinco de Mayo",2024-02-08 09:24:17,February,Thursday,1241.97,1867,35-44,Other
246,reel,TikTok,Food,4416,562,460,8334,0.65,0.07,Italy,Urban,Italian,No,"Venice Carnival, Easter",2024-10-21 13:28:43,October,Monday,3530.3,6270,55+,Male
247,reel,YouTube,Education,0,0,0,0,0.0,0.0,China,Urban,Mandarin,No,None,2024-03-27 08:44:04,March,Wednesday,0.0,0,25-34,Female
248,static_image,Facebook,Travel,4638,327,50,4578,1.1,0.07,India,Rural,Bengali,No,"Diwali, Holi, Eid",2024-03-17 15:18:32,March,Sunday,4299.0,3975,35-44,Other
249,video,Instagram,Social Issues,4848,208,604,6778,0.84,0.03,Greece,Urban,Greek,No,"Easter, Carnival",2024-03-02 17:32:56,March,Saturday,3417.56,4822,25-34,Other
250,video,TikTok,Fashion,1012,1101,286,12220,0.2,0.09,Greece,Urban,Greek,Yes,"Easter, Carnival",2024-07-29 02:39:50,July,Monday,872.99,8394,25-34,Male
251,video,Instagram,Finance,0,0,0,0,0.0,0.0,China,Urban,Mandarin,No,None,2024-05-20 12:19:15,May,Monday,0.0,0,45-54,Female
252,carousel,TikTok,Movies,0,0,0,0,0.0,0.0,Indonesia,Rural,Indonesian,No,None,2024-07-27 05:07:37,July,Saturday,0.0,0,35-44,Female
253,video,Instagram,Fashion,4011,684,444,2593,1.98,0.26,Saudi Arabia,Rural,Arabic,Yes,"Eid al-Fitr, Eid al-Adha",2024-01-23 10:44:27,January,Tuesday,4173.84,2263,18-24,Other
254,static_image,Facebook,Fashion,6990,1263,711,10815,0.83,0.12,United Arab Emirates,Urban,Arabic,Yes,"National Day, Dubai Shopping Festival",2024-06-25 22:13:45,June,Tuesday,666.44,7384,45-54,Female
255,static_image,Twitter,Health,2765,274,37,9396,0.33,0.03,Greece,Urban,Greek,No,"Easter, Carnival",2024-01-28 08:46:50,January,Sunday,1667.8,6089,18-24,Other
256,carousel,YouTube,Entertainment,7366,60,615,1989,4.04,0.03,South Africa,Rural,Zulu,No,Heritage Day,2024-03-17 02:00:55,March,Sunday,3075.18,1642,45-54,Other
257,reel,Instagram,Education,5140,445,198,9769,0.59,0.05,Egypt,Rural,Arabic,Yes,"Ramadan, Eid al-Fitr",2024-11-25 05:45:08,November,Monday,2939.22,7989,25-34,Other
258,static_image,YouTube,Food,398,487,32,8751,0.1,0.06,South Korea,Urban,Korean,Yes,"Chuseok, Seollal",2024-05-08 06:40:29,May,Wednesday,2777.07,6435,55+,Male
259,reel,Facebook,Movies,4289,560,488,8834,0.6,0.06,Italy,Urban,Italian,No,"Venice Carnival, Easter",2024-10-08 02:50:21,October,Tuesday,322.92,6914,35-44,Other
260,video,Twitter,Music,4454,458,485,4105,1.31,0.11,South Korea,Urban,Korean,No,"Chuseok, Seollal",2024-04-08 23:35:45,April,Monday,3284.18,3506,55+,Male
261,reel,YouTube,Finance,152,157,69,9577,0.04,0.02,Australia,Urban,English,Yes,"Australia Day, Melbourne Cup",2024-09-02 06:35:05,September,Monday,1955.67,6492,18-24,Other
262,static_image,Facebook,Gaming,3643,21,453,5773,0.71,0.0,Mexico,Urban,Spanish,Yes,"Day of the Dead, Cinco de Mayo",2024-11-23 20:56:20,November,Saturday,4730.05,4768,45-54,Other
263,carousel,YouTube,Movies,5751,348,676,7000,0.97,0.05,Mexico,Urban,Spanish,No,"Day of the Dead, Cinco de Mayo",2024-07-07 03:49:33,July,Sunday,1709.54,5653,55+,Male
264,carousel,Twitter,Health,6940,591,580,2632,3.08,0.22,India,Rural,English,No,"Diwali, Holi, Eid",2024-08-19 09:40:03,August,Monday,2475.21,1877,25-34,Other
265,video,Twitter,Gaming,4374,887,366,9317,0.6,0.1,United Kingdom,Urban,English,No,"Christmas, Easter, Bonfire Night",2024-12-18 02:29:09,December,Wednesday,2157.39,5766,18-24,Female
266,carousel,TikTok,Food,0,0,0,0,0.0,0.0,Indonesia,Urban,Indonesian,No,None,2024-09-08 03:07:04,September,Sunday,0.0,0,25-34,Female
267,carousel,Instagram,Movies,222,233,289,370,2.01,0.63,Spain,Urban,Spanish,Yes,"La Tomatina, Running of the Bulls",2024-12-10 12:50:59,December,Tuesday,3793.3,299,55+,Other
268,video,TikTok,Travel,0,0,0,0,0.0,0.0,Indonesia,Rural,Indonesian,No,None,2024-01-26 19:22:50,January,Friday,0.0,0,18-24,Male
269,carousel,Twitter,Travel,1112,247,340,5783,0.29,0.04,India,Urban,Bengali,Yes,"Diwali, Holi, Eid",2024-09-28 04:58:36,September,Saturday,262.58,3844,55+,Female
270,video,Facebook,Entertainment,2163,353,228,7207,0.38,0.05,Canada,Urban,French,Yes,,2024-09-27 11:57:41,September,Friday,4342.78,5380,35-44,Other
271,reel,Twitter,Music,4096,126,164,5980,0.73,0.02,Egypt,Urban,Arabic,Yes,"Ramadan, Eid al-Fitr",2024-02-07 13:39:52,February,Wednesday,175.55,4596,55+,Other
272,carousel,TikTok,Entertainment,4093,215,9,1435,3.01,0.15,Egypt,Urban,Arabic,Yes,"Ramadan, Eid al-Fitr",2024-11-04 23:58:55,November,Monday,2585.23,1218,18-24,Other
273,reel,Instagram,Food,4785,1389,81,1428,4.38,0.97,South Korea,Urban,Korean,No,"Chuseok, Seollal",2024-06-12 20:29:22,June,Wednesday,3097.25,1100,25-34,Female
274,carousel,Twitter,Sports,1587,981,226,7212,0.39,0.14,Italy,Rural,Italian,Yes,"Venice Carnival, Easter",2024-08-08 05:57:33,August,Thursday,314.55,4438,45-54,Male
275,reel,YouTube,Gaming,1300,1195,144,12508,0.21,0.1,Saudi Arabia,Urban,Arabic,No,"Eid al-Fitr, Eid al-Adha",2024-04-17 15:58:52,April,Wednesday,904.34,7528,25-34,Male
276,video,YouTube,Technology,0,0,0,0,0.0,0.0,China,Rural,Mandarin,No,None,2024-08-08 19:40:06,August,Thursday,0.0,0,25-34,Other
277,video,Twitter,Education,2445,229,357,6534,0.46,0.04,United Arab Emirates,Urban,English,No,"National Day, Dubai Shopping Festival",2024-03-27 10:52:57,March,Wednesday,4930.66,5688,55+,Other
278,video,YouTube,Music,3297,1468,258,6420,0.78,0.23,Spain,Urban,Spanish,Yes,"La Tomatina, Running of the Bulls",2024-01-03 20:30:46,January,Wednesday,3745.28,4428,25-34,Other
279,video,Facebook,Sports,1608,491,367,145,17.01,3.39,United States,Urban,English,No,"Thanksgiving, Independence Day, Halloween",2024-02-22 04:16:16,February,Thursday,4457.32,110,55+,Other
280,reel,TikTok,Politics,1320,769,306,8763,0.27,0.09,Australia,Urban,English,No,"Australia Day, Melbourne Cup",2024-08-21 12:03:10,August,Wednesday,3399.76,5914,25-34,Other
281,carousel,Twitter,Technology,2503,1057,480,12927,0.31,0.08,Brazil,Urban,Portuguese,No,Carnival,2024-02-21 09:10:22,February,Wednesday,4543.58,9224,55+,Male
282,video,Twitter,Technology,1766,389,258,3347,0.72,0.12,Australia,Rural,English,No,"Australia Day, Melbourne Cup",2024-01-30 21:06:13,January,Tuesday,271.58,2117,35-44,Other
283,carousel,Facebook,Gaming,0,0,0,0,0.0,0.0,China,Rural,Mandarin,No,None,2024-02-04 13:32:57,February,Sunday,0.0,0,45-54,Other
284,carousel,YouTube,Travel,2254,52,51,9139,0.26,0.01,Canada,Urban,English,Yes,,2024-06-17 10:00:08,June,Monday,4853.68,7946,25-34,Other
285,carousel,Twitter,Health,1230,573,490,1236,1.86,0.46,Japan,Urban,Japanese,No,"Cherry Blossom Festival, Obon",2024-06-30 02:13:41,June,Sunday,1852.93,846,35-44,Male
286,carousel,Instagram,Health,1380,444,169,3386,0.59,0.13,South Africa,Rural,Afrikaans,No,Heritage Day,2024-02-17 03:26:29,February,Saturday,819.55,2838,18-24,Other
287,video,Instagram,Movies,2831,686,207,3787,0.98,0.18,Germany,Urban,German,No,Oktoberfest,2024-09-23 09:32:02,September,Monday,4174.25,3121,45-54,Female
288,reel,Facebook,Movies,2613,806,157,5992,0.6,0.13,South Africa,Urban,Afrikaans,No,Heritage Day,2024-11-29 17:09:27,November,Friday,1060.16,4409,25-34,Female
289,carousel,Twitter,Education,966,187,211,7678,0.18,0.02,South Korea,Urban,Korean,Yes,"Chuseok, Seollal",2024-11-03 04:48:24,November,Sunday,770.82,6544,55+,Female
290,reel,Instagram,Education,2418,809,351,8762,0.41,0.09,Brazil,Urban,Portuguese,Yes,Carnival,2024-06-27 18:34:32,June,Thursday,546.97,7752,25-34,Female
291,static_image,YouTube,Technology,3878,590,32,6457,0.7,0.09,United States,Urban,English,No,"Thanksgiving, Independence Day, Halloween",2024-11-07 16:53:37,November,Thursday,1886.39,4601,45-54,Female
292,static_image,Twitter,Politics,1987,1068,694,1843,2.03,0.58,Spain,Urban,Spanish,No,"La Tomatina, Running of the Bulls",2024-02-15 05:07:36,February,Thursday,319.0,1426,55+,Male
293,reel,Instagram,Education,2299,614,316,9142,0.35,0.07,Italy,Rural,Italian,Yes,"Venice Carnival, Easter",2024-04-19 03:58:32,April,Friday,911.86,5870,35-44,Other
